Show name,id,name,season,summary
The Golden Girls,63872,The Custody Battle,1,"<p>While Dorothy's wealthy sister Gloria is in town, Dorothy blows up at Sophia over constantly interfering in her life and not giving her her space. As a result, Gloria asks Sophia to move in with her, and Sophia accepts.</p>"
The Golden Girls,63873,A Little Romance,1,"<p>Rose is reluctant to invite her latest boyfriend, Dr. Jonathan Newman, over to the house for dinner. When he finally comes over, the girls discover why -- he's a midget. Meanwhile, Sophia attends the graduation of one of her grandsons from a dog grooming school.</p>"
The Golden Girls,63874,That Was No Lady,1,"<p>Dorothy is head over heels for her latest boyfriend, Glen O'Brien, but falls flat when he tells her he's married. Meanwhile, Blanche sells her old car to Rose to pay for a new one.</p>"
The Golden Girls,63875,In a Bed of Rose's,1,"<p>Rose brings a man home one night, but the girls find him dead in her bed the next morning. Upon trying to notify his sister, whom he lived with, Rose discovers the \"sister\" was actually his wife.</p>"
The Golden Girls,63876,The Truth Will Out,1,"<p>Rose's daughter Kirsten and granddaughter Charley arrive to settle her late husband Charlie's will, something that Rose is not looking forward to. Meanwhile, Blanche becomes engrossed in the tabloid reportings of a high society murder.</p>"
The Golden Girls,63877,Nice and Easy,1,"<p>Blanche becomes concerned when her visiting niece Lucy becomes romantically involved with a different man every night. Meanwhile, Dorothy tries to get rid of a mouse.</p>"
The Golden Girls,63878,The Operation,1,"<p>A tumor on Dorothy's foot prevents her from practicing with Rose and Blanche for a dance recital. Though the tumor requires surgery, Dorothy refuses to have it, due to her phobia of hospitals. Meanwhile, Rose and Blanche rework the routine around Dorothy's absence.</p>"
The Golden Girls,63879,Second Motherhood,1,"<p>Blanche's wealthy suitor asks her to marry him, but she is reluctant to accept on account of him having very small children. Meanwhile, after dealing with a sexist plumber, Rose and Dorothy decide to install a new toilet themselves.</p>"
The Golden Girls,63880,Adult Education,1,"<p>Blanche is about to fail her psychology course at the junior college, and her professor ultimately makes her a deal -- he'll give her an A on the final exam, but only if she sleeps with him. Meanwhile, Dorothy tries to score tickets to a Frank Sinatra concert.</p>"
The Golden Girls,63881,The Flu,1,"<p>Dorothy, Blanche and Rose all come down with the flu a week before they're scheduled to attend an awards banquet -- where one of them is rumored to have won the big award.</p>"
The Golden Girls,63882,Job Hunting,1,"<p>The grief counseling center where Rose works is suddenly closed, leaving Rose out of a job. She looks everywhere she can for another job, but finds no one is willing to hire her on account of her age. Meanwhile, Dorothy has a date with a man she had a crush on in high school.</p>"
The Golden Girls,63883,Blind Ambitions,1,"<p>Rose's now-blind sister Lily visits Miami, and struggles to keep taking care of herself despite the loss of her sight, resulting in her almost setting the house on fire. Meanwhile, the girls have a yard sale to pay for a new TV.</p>"
The Golden Girls,63884,Big Daddy,1,"<p>Blanche's father, Curtis \"Big Daddy\" Hollingsworth, arrives for a visit, and delivers some news that upsets Blanche greatly -- he's sold the family plantation to embark on a singing career. Meanwhile, hostile relations between the girls and a neighbor lead Sophia to place a curse on him.</p>"
The Golden Girls,63885,The Way We Met,1,"<p>The girls find themselves too scared to sleep one night after watching the movie <i>Psycho</i>, so they instead stay up and reminisce about the time they all first met.</p>"
The Golden Girls,63886,End of the Curse,2,"<p>Blanche is devastated when her doctor tells her she may be pregnant. On a follow-up visit, she learns this was a false reading, but what it actually turns out to be is, to her, even worse -- she's going through menopause. Meanwhile, Dorothy and Rose begin breeding minks for profit.</p>"
The Golden Girls,63887,Ladies of the Evening,2,"<p>The girls have won tickets to see the premiere of Burt Reynolds' new movie, and meet the man himself at a party after. Their house is fumigated, however, leading them to stay in a hotel -- where they (and everyone else there) are soon arrested for prostitution.</p>"
The Golden Girls,63888,"Take Him, He's Mine",2,"<p>A depressed Stanley shows up again, and Dorothy hands him off to Blanche for the evening. She soon fumes, however, when the two hit it off and start spending more time together. Meanwhile, Rose and Sophia sell sandwiches at the Boardwalk.</p>"
The Golden Girls,63889,It's a Miserable Life,2,"<p>The girls create a petition to save a 200-year-old oak tree, though one notable name is not on the list -- Frieda Claxton, the curmudgeonly neighbor of theirs whose property the tree is on, and who wants to see it torn down.</p>"
The Golden Girls,63890,Isn't It Romantic,2,"<p>Dorothy's friend Jean visits after her lover dies, and begins spending a fair amount of time with Rose. Unbeknownst to the others, however, Jean is a lesbian, and soon starts developing feelings for Rose. Meanwhile, Sophia rents \"dirty movies\" to watch on the girls' new VCR.</p>"
The Golden Girls,63891,Big Daddy's Little Lady,2,"<p>Curtis \"Big Daddy\" Hollingsworth returns for another visit, with more news: he's engaged. Blanche couldn't be happier for her father until she meets his fiancée, who is half his age and even younger than Blanche. Meanwhile, Dorothy and Rose enter a songwriting contest.</p>"
The Golden Girls,63892,Family Affair,2,"<p>Dorothy's son Michael and Rose's daughter Bridget both arrive at the same time for a visit. The two initially are hostile to each other, but they end up clicking to such an extent they're soon discovered in bed together. Meanwhile, Blanche throws her back out in aerobics class.</p>"
The Golden Girls,63893,Vacation,2,"<p>Dorothy, Rose and Blanche head for their dream vacation in the Caribbean -- but soon discover their \"island paradise\" is nothing like what was in the brochure. Meanwhile, Sophia romances the girls' Japanese gardener while they're away.</p>"
The Golden Girls,63894,Joust Between Friends,2,"<p>When Dorothy looks for extra work to do during the summer, Blanche gets her a job at the museum where Blanche works. However, Blanche soon becomes jealous when it seems Dorothy is more proficient at her job than she is. Meanwhile, Rose finds a stray dog while shopping.</p>"
The Golden Girls,63895,"Love, Rose",2,"<p>A dateless Rose puts an ad in the personals column, then feels even more dateless when she doesn't get a response at first. Soon, though, she begins receiving letters from someone named \"Isaac Newton\" -- but Blanche confesses to Dorothy that <i>she's</i> the one who's writing the letters. Meanwhile, a 90-year-old British man takes an interest in Sophia.</p>"
The Golden Girls,63896,'Twas the Nightmare Before Christmas,2,"<p>While attempting to fly to their respective families for Christmas, the girls' plans hit a snag when a depressed man in a Santa suit takes them hostage at the grief counseling center where Rose works.</p>"
The Golden Girls,63897,The Sisters,2,<p>Dorothy's surprise birthday party for Sophia blows up in her face when her birthday present – a special visit by Sophia's sister Angela – reveals past tensions between the sisters.</p>
The Golden Girls,63898,The Stan Who Came to Dinner,2,"<p>As Dorothy gets ready to go on a double date with Blanche and a pair of twins, her ex-husband Stan arrives with the less than happy news that he has to have major surgery – and is looking for friends to take care of him during his recovery period.</p>"
The Golden Girls,63899,The Actor,2,"<p>A well-known actor comes to Miami to star in a local play with Dorothy, Blanche and Rose, and soon begins seeing each one behind the others' backs. Meanwhile, Sophia gets a job at a pirate-themed fast food restaurant.</p>"
The Golden Girls,63900,Before and After,2,"<p>After having a throat spasm, Rose is convinced that she had an out of body experience. As a result, she decides to live life to the fullest -- which also gets in the way of Blanche and Dorothy's lives, but when they confront Rose about it, Rose decides to move out.</p>"
The Golden Girls,63901,And Then There Was One,2,"<p>Sophia decides to enter herself into a charity walkathon, while Rose signs up herself, Dorothy and Blanche to babysit the children of the other participants. Once the walkathon is over, all of the kids are picked up -- except for one baby girl, who the girls fear has been abandoned.</p>"
The Golden Girls,63902,Bedtime Story,2,"<p>After the girls learn more than one of their relatives will be coming to visit, they decide to figure out the sleeping arrangements. As they do, they reminisce about the strangest sleeping situations they've ever had.</p>"
The Golden Girls,63903,"Forgive Me, Father",2,"<p>After some gentle prodding by Blanche and Rose, Dorothy invites a fellow teacher of hers over for dinner. Once he gets there, however, the girls learn one thing about him that Dorothy failed to notice -- he's a priest.</p>"
The Golden Girls,63904,Long Days Journey Into Marinara,2,"<p>Sophia's sister Angela returns for an extended visit, and is soon talked into moving to Miami. Dorothy insists that Angela stay with the girls while she looks for an apartment, which irks Sophia to no end, as she believes that Angela is after everything she has. Meanwhile, Rose looks after a piano-playing chicken.</p>"
The Golden Girls,63905,"Whose Face is This, Anyway?",2,"<p>Blanche attends her high school reunion and is depressed when she sees her classmates have all had facelifts, so she decides to get one herself. Meanwhile, Rose films a video of the girls for a class at the junior college.</p>"
The Golden Girls,63906,Dorothy's Prized Pupil,2,"<p>Dorothy is impressed with a paper written by Mario, a student of hers, and decides to enter it into a contest. Unfortunately, this ends up alerting the INS to Mario's status as an illegal alien, and he now faces deportation. Meanwhile, Rose loses Blanche's earrings, and must act as her personal servant as punishment.</p>"
The Golden Girls,63907,Diamond in the Rough,2,"<p>The girls plan a charity banquet for the hospital, and Blanche soon falls for the caterer, Jake. She backtracks, however, when she sees how \"uncivilized\" his manners and demeanor are compared to hers.</p>"
The Golden Girls,63908,Son-in-Law Dearest,2,"<p>Dorothy's daughter Kate returns with a special announcement, and Dorothy hopes Kate's having a baby -- but it turns out she's splitting from Dennis after she found him cheating on her. Meanwhile, Blanche and Rose watch an all-night <i>I Love Lucy</i> marathon.</p>"
The Golden Girls,63909,To Catch a Neighbor,2,"<p>A pair of undercover cops show up to inform the girls that their new neighbors are dealers in stolen gems, and they must set up a stakeout at the girls' house to catch them in the act. During their stay, Dorothy ends up falling for one of the cops.</p>"
The Golden Girls,63910,A Piece of Cake,2,<p>The girls reminisce about past birthday experiences while preparing a birthday party for a friend.</p>
The Golden Girls,63911,Empty Nests,2,"<p>The girls' neighbor, Renee Corliss, is feeling depressed about all of her children having moved out of the house and her doctor husband George's workaholic tendencies in this backdoor pilot for what would become the sitcom <i>Empty Nest</i>.</p>"
The Golden Girls,63912,Old Friends,3,"<p>Sophia makes friends with an old man at the Boardwalk, but she soon starts to question his increasingly odd behavior. Meanwhile, Blanche accidentally gives Rose's teddy bear to a member of her Sunshine Cadet troop, who refuses to give it back.</p>"
The Golden Girls,63913,One for the Money,3,<p>Sophia's latest get-rich-quick scheme leads the ladies to recall other past moneymaking ventures.</p>
The Golden Girls,63914,Bringing Up Baby,3,"<p>Rose gets a letter saying her Uncle Hingablotter has died and left her in possession of his \"baby.\" The girls are excited at the prospect of becoming mothers again -- until they see \"Baby,\" who's actually the uncle's prized pig. Meanwhile, Sophia loses her glasses at the mall.</p>"
The Golden Girls,63915,The Housekeeper,3,"<p>The girls hire a housekeeper, Marguerite, who ends up not doing very much housekeeping. As a result, they soon fire her, but once she leaves strange and terrible things begin to happen to the girls, who begin to suspect Marguerite has placed a curse on them.</p>"
The Golden Girls,63916,Nothing to Fear But Fear Itself,3,"<p>Rose's great aunt dies, meaning she has to fly to the Bahamas for her funeral so she can give the eulogy, something she is terrified to do. She asks Dorothy and Blanche to come with her, and as a result, they must face their own fears as well. Meanwhile, Sophia enters a cooking competition.</p>"
The Golden Girls,63917,Letter to Gorbachev,3,"<p>After Rose witnesses the members of her cadet troop talking about nuclear war, she writes letters to President Ronald Reagan and Soviet leader Mikhail Gorbachev urging them to disarm their weapons, and Gorbachev is so touched by Rose's letter he wants to meet her in person. Meanwhile, Sophia plans an act for a talent show.</p>"
The Golden Girls,63918,Strange Bedfellows,3,"<p>A political candidate is accused of having an affair with Blanche, and admits on live television that the accusation is true. The trouble is, it isn't, or at least not according to Blanche, though her roommates don't believe her.</p>"
The Golden Girls,63919,Brotherly Love,3,"<p>Stan's brother Ted is in town, and Blanche latches herself onto him. After their date, however, he is scared off by Blanche's aggressively sexual nature, and finds solace instead in Dorothy, causing a rift between the two of them. Meanwhile, Rose deals with a severe case of insomnia.</p>"
The Golden Girls,63920,A Visit from Little Sven,3,"<p>Rose's cousin Sven visits from Sweden, paying Rose a visit on his way to St. Olaf to meet his bride-to-be, having been set up in an arranged marriage. While he visits, however, a series of events leads him to fall instead for Blanche.</p>"
The Golden Girls,63921,The Audit,3,"<p>Stan returns yet again, this time with upsetting news for Dorothy: the two of them are being audited by the IRS. Thanks to Stan's careless spending while they were married, the two may end up having to face jail time. Meanwhile, Rose takes a Spanish class in night school, and Blanche soon joins her.</p>"
The Golden Girls,63922,Three on a Couch,3,"<p>With the bickering between them having reached an all-time high, the ladies decide to see a psychiatrist together.</p>"
The Golden Girls,63923,Charlie's Buddy,3,"<p>A man visits claiming to have served in the Army with Rose's late husband Charlie, and he and Rose end up falling for one another. Dorothy, however, doesn't believe him.</p>"
The Golden Girls,63924,The Artist,3,"<p>Tensions grow between Dorothy, Rose and Blanche when they reveal they've all been posing nude for an attractive Hungarian sculptor named Lazlo, who has been unclear on exactly whose sketches he plans to use for his latest sculpture. Meanwhile, Sophia practices pulling pranks on Dorothy to get back at a practical joker at the senior center.</p>"
The Golden Girls,63925,Blanche's Little Girl,3,"<p>Blanche is in for a surprise when her daughter Becky visits -- Becky, a former model, is now significantly overweight. To make matters worse, her boyfriend insults her and makes jokes about her weight at every opportunity. Meanwhile, Sophia orders a strike against her employer at the fast food restaurant where she works.</p>"
The Golden Girls,63926,Dorothy's New Friend,3,"<p>Dorothy becomes friends with author Barbara Thorndyke, who doesn't take nearly as kindly to Dorothy's roommates, putting a strain on their friendship.</p>"
The Golden Girls,63927,Grab That Dough,3,"<p>The girls get tickets to appear on a game show called <i>Grab That Dough!</i>, but upon their arrival in California they lose all their luggage and have to sleep in the hotel lobby. To further complicate things, Blanche insults Rose and Sophia to the point where they break off and team up against her and Dorothy.</p>"
The Golden Girls,63928,"My Brother, My Father",3,"<p>Sophia's brother, Dorothy's Uncle Angelo, is coming by for a visit, and since Angelo's a Catholic priest, Sophia asks of Dorothy a small favor: pretend that she and Stanley are still married and never divorced. Meanwhile, Rose and Blanche prepare to star in a local production of <i>The Sound of Music</i>.</p>"
The Golden Girls,63929,Golden Moments (1),3,"<p>The series' first clip show sees Sophia preparing to move out to live with Dorothy's brother Phil and his family. Dorothy, Rose and Blanche are so stunned by the news they remember the times they have all had together.</p>"
The Golden Girls,63930,Golden Moments (2),3,<p>The clip show concludes with the three ladies remembering old times while trying to figure out how to stop Sophia from moving out.</p>
The Golden Girls,63931,And Ma Makes Three,3,"<p>Dorothy takes a lonely Sophia on a date with her and her latest boyfriend, and Sophia enjoys herself to such an extent she starts coming along on all of their dates, much to their chagrin.</p>"
The Golden Girls,63932,Larceny and Old Lace,3,"<p>Sophia's latest boyfriend, Rocco, claims to have been a member of the mafia. When a bag of his is discovered with thousands of dollars, the girls fear he may have robbed a bank. Meanwhile, Blanche and Dorothy secretly read Rose's diary, and discover what they perceive to be insulting things written about them.</p>"
The Golden Girls,63933,Rose's Big Adventure,3,"<p>Rose's latest boyfriend retires, and the lifestyle he wants to lead turns out to be a lot less exciting than Rose had in mind. Meanwhile, Sophia hires an old friend to remodel the girls' garage into a guest room.</p>"
The Golden Girls,63934,Mixed Blessing,3,"<p>Dorothy's son Michael returns with the announcement that he's going to marry Lorraine, an African-American woman twice his age. Dorothy objects to the age difference, while Lorraine's visiting family objects because Michael is white.</p>"
The Golden Girls,63935,Mister Terrific,3,"<p>Rose's latest boyfriend is a superhero -- or at least plays one, named \"Mr. Terrific\", on TV. He manages to help Dorothy land a job on his show, and the producers like her recommendations so much they decide to keep her -- and fire Mr. Terrific.</p>"
The Golden Girls,63936,Mother's Day,3,"<p>As the girls prepare to go to a Mother's Day banquet, they reminisce about Mother's Days past.</p>"
The Golden Girls,63937,"Yes, We Have No Havanas",4,"<p>Blanche has been seeing less and less of her latest boyfriend, Fidel Santiago, and begins to suspect him of seeing another woman. She doesn't know what to think, however, when she finds out the identity of that other woman -- Sophia. Meanwhile, Dorothy teaches a night school history class and discovers Rose is one of her students.</p>"
The Golden Girls,63938,The Days and Nights of Sophia Petrillo,4,"<p>Sophia's roommates, bored with themselves, are unaware of her active daytime life.</p>"
The Golden Girls,63939,The One That Got Away,4,"<p>Ham Lushbough, the one man Blanche has never been able to get into bed with her, is visiting Miami and wants to see her, and Blanche is thrilled at the opportunity -- until she sees the older, balder, heavier Ham. Meanwhile, Rose and Dorothy see a strange object in the night sky, and Rose is convinced it was a UFO.</p>"
The Golden Girls,63940,Yokel Hero,4,"<p>When Rose competes for St. Olaf's Woman of the Year honors, Dorothy and Blanche decide to \"punch up\" her list of accomplishments in order to ensure her victory.</p>"
The Golden Girls,63941,"Bang the Drum, Stanley",4,"<p>When a fly ball hits Sophia in the head at a game, Stan convinces her to fake serious injuries so they can sue the stadium to make easy money. Meanwhile, Blanche and Rose prepare to star in a local production of the musical <i>Cats</i>.</p>"
The Golden Girls,63942,Sophia's Wedding (1),4,"<p>When Sophia's friend Esther Weinstock dies, she goes to her funeral in Brooklyn. There, she confronts Esther's widower, Max, whom Sophia blames for the failure of her husband's old business.</p>"
The Golden Girls,63943,Sophia's Wedding (2),4,"<p>Newlyweds Max and Sophia open a pizza knish stand on the beach, while Dorothy has gotten into the habit of smoking cigarettes.</p>"
The Golden Girls,63944,"Brother, Can You Spare That Jacket?",4,"<p>Blanche's tattered jacket, containing a winning lottery ticket, is given to charity.</p>"
The Golden Girls,63945,Scared Straight,4,"<p>Sick of having Blanche set him up on dates with women, her brother Clayton confesses to Rose that he is secretly gay. When he tries to tell Blanche, however, he becomes so nervous he instead claims to have slept with Rose. Meanwhile, after having a dream involving her late husband, Sophia becomes convinced that she'll die soon.</p>"
The Golden Girls,63946,Stan Takes a Wife,4,"<p>When Sophia is hospitalized with pneumonia, Stan comforts Dorothy. At the hospital, she sees a side of him that impresses her, and she tries to prevent him from getting married again to another woman.</p>"
The Golden Girls,63947,The Auction,4,"<p>The girls need a new roof, so they scheme to buy and then sell a painting by Jasper DeKimmel, an arrogant painter who has a few days to live.</p>"
The Golden Girls,63948,Blind Date,4,<p>Blanche has reservations about dating a blind man (Ed Winter) since he cannot see her physical attributes.</p>
The Golden Girls,63949,The Impotence of Being Ernest,4,<p>Rose feels inadequate when her new boyfriend experiences impotency.</p>
The Golden Girls,63950,Love Me Tender,4,"<p>Dorothy dates a short, bald man with whom she has nothing in common - except for great lovemaking. Meanwhile, Rose and Blanche volunteer as big sisters for two teenage girls.</p>"
The Golden Girls,63951,Valentine's Day,4,"<p>After being dumped on Valentine's Day by their dates, Blanche, Dorothy, and Rose reminisce about past Valentine's Day experiences that didn't turn out as planned. Meanwhile, Sophia has a special date with Latin singer Julio Iglesias.</p>"
The Golden Girls,63952,Two Rode Together,4,"<p>Following the death of one of Sophia's remaining friends, Dorothy looks for a way to spend some quality bonding time with her mother. At Sophia's request, they go to Disneyworld, only their fun weekend didn't turn out as Sophia's request since it rained the entire time they were at the park. Meanwhile back at home, Rose and Blanche try their hand at writing their own children's book.</p>"
The Golden Girls,63953,You Gotta Have Hope,4,"<p>Blanche, Dorothy, and Rose get in hot water when Rose announces that Bob Hope is her biological father and will gladly volunteer as the Master of Ceremony at an upcoming benefit they're chairing.</p>"
The Golden Girls,63954,Fiddler on the Ropes,4,"<p>Dorothy, Rose, and Blanche are furious with Sophia when she uses their money to buy the contract of a prize fighter. They have a good chance at getting their money back if \"Kid\" Pepe wins the fight, but it comes at the possibility of Pepe quitting before the fight so he can audition for Julliard.</p>"
The Golden Girls,63955,Till Death Do We Volley,4,"<p>Dorothy's high school class is meeting at the house for their class reunion. When she meets up with her best friend before the party, they decide to have a somewhat friendly game of tennis. However, when her friend dies unexpectedly while on the court, Dorothy blames herself, until she begins to suspect that it might be a prank like they used to pull on one another while still in school.</p>"
The Golden Girls,63956,High Anxiety,4,<p>Dorothy and Blanche try to help Rose overcome a 30-year dependency on prescription medication.</p>
The Golden Girls,63957,Little Sister,4,"<p>Rose's younger sister Holly drops by and begins spending time with Dorothy and Blanche, leading Rose to feel as though Holly is deliberately leaving her out of their excursions. Meanwhile, Sophia watches Dreyfuss, the neighbor's dog, who soon runs away.</p>"
The Golden Girls,63958,Sophia's Choice,4,"<p>Sophia breaks her friend Lillian out of a retirement home that is worse than Shady Pines was. Meanwhile, Blanche decides to use her work bonus to have her breasts enlarged.</p>"
The Golden Girls,63959,Rites of Spring,4,"<p>As the girls vow to get in shape for an upcoming beach party, they recall past attempts at self-improvement.</p>"
The Golden Girls,63960,Foreign Exchange,4,"<p>When a couple from Sicily, who were old friends of Sophia arrives for in Miami for a visit, they drop a bombshell on Sophia and Dorothy: the day when Dorothy and their daughter Gina were born, the babies might have been switched at birth.</p>"
The Golden Girls,63961,We're Outta Here (1),4,"<p>Upon arriving home one afternoon, Blanche, Dorothy, and Rose are shocked to find Sophia showing the house to a wealthy Japanese businessman. When he makes an offer to buy the place, it causes the girls to reminisce about all the good and bad times they had in it.</p>"
The Golden Girls,63962,We're Outta Here (2),4,"<p>When Blanche makes her decision whether to accept Mr. Yakamora's offer to buy her house, she receives a surprising call that puts their agreement on hold.</p>"
The Golden Girls,63963,Sick and Tired (1),5,"<p>A mystery illness that Dorothy has been suffering from for some time appears to be getting worse, but when she consults several doctors, they all claim there's nothing wrong with her. Meanwhile, Blanche decides to become a romance novelist.</p>"
The Golden Girls,63964,Sick and Tired (2),5,"<p>The girls' neighbor, Dr. Harry Weston, recommends Dorothy to a specialist who may be able to diagnose her mystery illness. Meanwhile, Blanche goes on a 72-hour writing binge.</p>"
The Golden Girls,63965,The Accurate Conception,5,"<p>Blanche'e visiting daughter Rebecca announces her intention of having a baby by way of artificial insemination, and Blanche announces her intention of wanting absolutely nothing to do with any of it. Meanwhile, Dorothy tries to convince a reluctant Sophia to get a check-up.</p>"
The Golden Girls,63966,Rose Fights Back,5,"<p>After finding out that she'll be losing her income from Charlie's pension, Rose begins searching for a job -- but after being turned down because of her age, she decides to turn to local consumer reporter Enrique Mas for help. Meanwhile, Sophia goes wild buying various items in bulk at a shopper's warehouse.</p>"
The Golden Girls,63967,Love Under the Big Top,5,"<p>Dorothy doesn't know what to think when her attorney boyfriend decides to give up his practice to become a full-time circus clown. Meanwhile, Blanche and Rose take part in a \"Save the Whales\" protest.</p>"
The Golden Girls,63968,Dancing in the Dark,5,"<p>Rose begins dating her dancing partner, college professor Miles Webber, but when he invites her to mingle among his colleagues at a party she begins to feel stupid and unworthy of his affections. Meanwhile, Blanche is in a dating slump.</p>"
The Golden Girls,63969,Not Another Monday,5,"<p>After attending the funeral of a mutual friend, Sophia's friend Martha announces her intentions of committing suicide -- and wants Sophia to be there with her when she does. Meanwhile, the other girls babysit for a neighbor.</p>"
The Golden Girls,63970,That Old Feeling,5,"<p>When Blanche's mother-in-law dies, the brother of her late husband George comes by for a visit, and he reminds Blanche of George to such an extent that she begins falling for him. Meanwhile, Sophia is caught sneaking out and driving the others' cars behind their backs.</p>"
The Golden Girls,63971,Comedy of Errors,5,"<p>After learning that a classmate passed away, Dorothy decides to set out and fulfil her dream of becoming a stand-up comic – only to discover life on the stage isn't all it's cracked up to be.</p>"
The Golden Girls,63972,All That Jazz,5,"<p>After getting kicked out of the house by his wife, Dorothy and her roommates get an unexpected houseguest in the form of her son Michael. Fearing that he's headed nowhere in life, Dorothy asks for her ex-husband Stan's help in getting Michael to grow up and act like an adult. Meanwhile, Rose has a hard time telling her boss that she's feeling overworked.</p>"
The Golden Girls,63973,Ebb Tide,5,<p>Blanche renews hostilities with her sister (Sheree North) when she travels home to attend her father's funeral.</p>
The Golden Girls,63974,Have Yourself a Very Little Christmas,5,<p>The ladies volunteer to serve Christmas dinner at a soup kitchen.</p>
The Golden Girls,63975,Mary Has a Little Lamb,5,"<p>The girls try to reconcile a pregnant teenage girl and her father. Meanwhile, Blanche starts to regret having written sympathetic \"love\" letters to a man in jail.</p>"
The Golden Girls,63976,Great Expectations,5,<p>Blanche cannot bring herself to enter the hospital following her boyfriend's (Robert Mandan) heart attack.</p>
The Golden Girls,63977,Triple Play,5,<p>Rose prepares herself for a visit from her boyfriend's daughter; Blanche schemes to meet wealthy men.</p>
The Golden Girls,63978,Clinton Avenue Memoirs,5,"<p>Depressed that she's losing her memory, Sophia decides to revisit her and Dorothy's old apartment in Brooklyn. Meanwhile, Rose enlists Blanche's aid in conducting a consumer survey.</p>"
The Golden Girls,63979,Like the Beep Beep Beep of the Tom-Tom,5,"<p>Blanche stuns her roommates, and eligible male population of Miami when she swears off sex after her doctor recommends she get a pacemaker.</p>"
The Golden Girls,63980,An Illegitimate Concern,5,"<p>Sophia talks Dorothy into participating in a mother-daughter pageant at Shady Pines. As they bicker over what they plan on doing for the talent competition, Blanche is in for a surprise when a young man arrives on her doorstep, announcing that her late husband is his father.</p>"
The Golden Girls,63981,72 Hours,5,"<p>Not long after getting a blood transfusion at a nearby hospital, Rose is in for a scare when the hospital sends her a letter to inform her that it may have contained HIV infected blood.</p>"
The Golden Girls,63982,Twice in a Lifetime,5,"<p>Rose's old boyfriend from high school arrives in town and asks her to join him when his band goes on tour in Europe. As a result, her relationship with Miles is cast into doubt.</p>"
The Golden Girls,63983,Sisters and Other Strangers,5,"<p>Blanche's sister Charmaine is visiting Miami, promoting the new romance novel she wrote. Upon reading it, Blanche is furious, thinking her sister stole the story of her life, and threatens to kick her out of the family. Meanwhile, Stan's cousin came to visit, and causes a disagreement about the pros and cons of communism with Dorothy.</p>"
The Golden Girls,63984,Cheaters,5,<p>Dorothy sees an old flame (Jerry Orbach); Blanche and Sophia fall prey to con artists.</p>
The Golden Girls,63985,The Mangiacavallo Curse Makes a Lousy Wedding Present,5,<p>Blanche supplies a date for wedding-bound Dorothy; Sophia puts a curse on the newlyweds.</p>
The Golden Girls,63986,All Bets Are Off,5,"<p>Dorothy's gambling problem re-surfaces after a visit to the race track and quickly begins falling in to debt and gaining an apathy to her job. Meanwhile, Rose takes up painting and Blanche is insulted after a man she works with rejects her advances.</p>"
The Golden Girls,63987,The President's Coming! The President's Coming! (1),5,<p>The women reminisce about their experiences prior to a visit to their home by the president.</p>
The Golden Girls,63988,The President's Coming! The President's Coming! (2),5,<p>The women continue to share their memories as the president's arrival time approaches.</p>
